UNIMAR RIJEKA d.o.o.;95950787630;1.10.2020;10078-02-91
NAVIGACIJSKO 11.039.12 svjetlo za dubinu LED Evoled Smart 360 ° bijelo;kom;;11.039.12;2;35;137.4;25
SVJETLO 11.039.16 navig . inox EVOLED bijelo 360 °;kom;;11.039.16;2;40;239.4;25
SVJETLO 11.132.01 navig . inox jarbolno 360 °;kom;;11.132.01;2;40;179.4;25
SVJETLO 11.134.02 navig . jarbolno 360 ° 90mm bijelo / bijela plastika;kom;;11.134.02;1;40;95.7;25
SVJETLO 11.138.01 navig . LED sa stegom;kom;;11.138.01;1;40;143.4;25
PLAFONJERA 13.178.31 bijela s 5 bijelih LED - a 12V;kom;;13.178.31;6;40;59.33;25
SPOJ 14.036.16 glava - glava;kom;;14.036.16;5;39.96;4.73;25
PRSTEN 15.350.99 za zatvaranje i vijci;pak;;15.350.99;1;30;167.4;25
AUTOMATSKI 16.603.00 prekidač za pumpe plosnati 15Amp;kom;;16.603.00;4;40;116.7;25
AUTOMATSKI 16.603.50 prekidač za kaljužne pumpe 12 / 24V;kom;;16.603.50;5;40;113.7;25
MOTOR 19.182.03 serije 20W;kom;;19.182.03;1;35;509.4;25
PANTOGRAFSKA 19.189.02 ruka brisača teleskopska;kom;;19.189.02;1;35;557.4;25
METLICA 19.193.13 brisača;kom;;19.193.13;1;40;161.4;25
AUTOMAT.APARAT 31.515.01 za gašenje Kg 1;kom;;31.515.01;2;35;191.4;25
NOSAČ 47.376.10 pomoćnog motora snage do 15KS inox;kom;;47.376.10;1;35;837;25
NOSAČ 47.376.11 pomoćnog motora snage do 8KS inox;kom;;47.376.11;1;35;747;25
NOSAČ 47.377.00 pomoćnog motora - fiksiranje na pregradu;kom;;47.377.00;1;40;491.4;25
ŠARNIRI 48.420.61UKUPNO od inoxa za stepenice 25mm;kom;;48.420.61UKUPNO;4;39.99;32.33;25
